Format Version,1.23,Take Name,Take 2024-02-05 01.13.09 PM_005,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2024-02-22 11.23.55.747 AM,Capture Start Frame,410081,Total Frames in Take,484,Total Exported Frames,484,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,ROSbot_Coco:Marker1,ROSbot_Coco:Marker1,ROSbot_Coco:Marker1,ROSbot_Coco:Marker2,ROSbot_Coco:Marker2,ROSbot_Coco:Marker2,ROSbot_Coco:Marker4,ROSbot_Coco:Marker4,ROSbot_Coco:Marker4,Unlabeled 4023,Unlabeled 4023,Unlabeled 4023,Unlabeled 4024,Unlabeled 4024,Unlabeled 4024,Unlabeled 4025,Unlabeled 4025,Unlabeled 4025,Unlabeled 4026,Unlabeled 4026,Unlabeled 4026,Unlabeled 4027,Unlabeled 4027,Unlabeled 4027,Unlabeled 4028,Unlabeled 4028,Unlabeled 4028,Unlabeled 4029,Unlabeled 4029,Unlabeled 4029
,ID,"DA0F0","DA0F0","DA0F0","DA0C0","DA0C0","DA0C0","D9B10","D9B10","D9B10","D9AF0","D9AF0","D9AF0","D9B40","D9B40","D9B40","D9B60","D9B60","D9B60","D9B70","D9B70","D9B70","D9B80","D9B80","D9B80","DA070","DA070","DA070","DA120","DA120","DA120"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
13,0.216667,4.075891,1.216992,2.170392,4.166748,1.204812,2.297072,4.220122,1.219589,2.085255,4.259910,1.204636,2.262074,3.992934,1.250849,2.036131,0.310277,-0.000724,0.010723,0.010184,-0.000196,0.010140,0.010038,-0.000264,0.410454,4.099762,1.222260,2.086570,4.057926,1.220845,2.124188
14,0.233333,4.077443,1.217047,2.171089,4.168700,1.204847,2.297643,4.221451,1.219706,2.085627,4.261846,1.204554,2.262388,3.994135,1.251023,2.037013,0.310272,-0.000724,0.010703,0.010168,-0.000196,0.010127,0.010011,-0.000258,0.410461,4.101171,1.222588,2.087222,4.059379,1.221124,2.124895
15,0.250000,4.079019,1.217309,2.171812,4.170599,1.204767,2.298207,4.222776,1.219985,2.085969,4.263643,1.204554,2.262668,3.995525,1.251388,2.038010,0.310167,-0.000453,0.011103,0.010246,-0.000196,0.010186,0.010049,-0.000275,0.410412,4.102493,1.222982,2.087888,4.060923,1.221346,2.125701
16,0.266667,4.080383,1.217530,2.172483,4.172290,1.204653,2.298545,4.224027,1.220263,2.086268,4.265348,1.204523,2.262902,3.996843,1.251802,2.038994,0.310200,-0.000436,0.011128,0.010170,-0.000231,0.010130,0.009791,-0.000587,0.410413,4.103734,1.223277,2.088477,4.062114,1.221622,2.126388
17,0.283333,4.081796,1.217692,2.173245,4.173943,1.204556,2.298952,4.225181,1.220418,2.086563,4.266834,1.204411,2.263000,3.998102,1.252146,2.039880,0.310159,-0.000434,0.011127,0.010171,-0.000180,0.010180,0.009798,-0.000597,0.410406,4.104956,1.223504,2.089070,4.063334,1.221735,2.127159
18,0.300000,4.083146,1.217849,2.173944,4.175705,1.204563,2.299340,4.226347,1.220451,2.086849,4.268380,1.204334,2.263105,3.999293,1.252379,2.040808,0.310171,-0.000393,0.011145,0.010162,-0.000202,0.010123,0.010057,-0.000279,0.410445,4.106035,1.223594,2.089598,4.064596,1.221901,2.127946
19,0.316667,4.084480,1.217955,2.174502,4.177273,1.204524,2.299679,4.227396,1.220419,2.087116,4.269904,1.204178,2.263148,4.000418,1.252532,2.041656,0.310158,-0.000461,0.011119,0.010213,-0.000166,0.010174,0.010035,-0.000230,0.410476,4.107038,1.223623,2.090098,4.065774,1.222016,2.128552
20,0.333333,4.085641,1.217925,2.175056,4.178809,1.204355,2.299910,4.228408,1.220383,2.087349,4.271418,1.204017,2.263196,4.001537,1.252720,2.042499,0.310198,-0.000432,0.011144,0.010173,-0.000179,0.010145,0.010121,-0.000238,0.410467,4.108053,1.223648,2.090627,4.066888,1.222140,2.129096
21,0.350000,4.086762,1.217828,2.175536,4.180305,1.204200,2.300212,4.229332,1.220319,2.087487,4.272899,1.203865,2.263348,4.002575,1.252844,2.043295,0.310145,-0.000439,0.011137,0.010172,-0.000205,0.010178,0.009808,-0.000595,0.410420,4.109013,1.223660,2.091158,4.067941,1.222128,2.129696
22,0.366667,4.087970,1.217828,2.176005,4.181629,1.204113,2.300513,4.230201,1.220264,2.087687,4.274107,1.203777,2.263500,4.003696,1.252937,2.044157,0.310152,-0.000430,0.011097,0.010165,-0.000184,0.010143,0.010119,-0.000239,0.410476,4.109921,1.223623,2.091690,4.068997,1.221920,2.130330
