X_Ball,Y_Ball,Z_Ball,X_Turtle,Y_Turtle,Z_Turtle,X_dist,Y_dist,Z_dist,distance,Touch
3.338935,0.250463,-0.938147,3.310282,0.784304,-0.506745,0.0286530000000002,-0.533841,-0.4314019999999999,0.6869606199004423,0
3.051622,0.370704,-0.767366,3.310175,0.78409,-0.506091,-0.258553,-0.413386,-0.261275,0.5531747141997725,0
1.136868,0.105943,1.389688,1.192747,0.782904,0.886045,-0.055879,-0.676961,0.5036430000000001,0.8456092062004766,0
3.604372,0.381449,-0.33515,3.310115,0.783985,-0.504771,0.294257,-0.402536,0.1696209999999999,0.5266817796221929,0
1.061759,0.357001,0.714548,1.192652,0.782357,0.885942,-0.1308930000000001,-0.4253559999999999,-0.171394,0.4769031425992074,1
1.428036,0.345434,0.992474,1.192429,0.782411,0.885586,0.2356070000000001,-0.4369769999999999,0.1068879999999999,0.5078233959970729,1
3.247082,0.575477,-0.274993,3.293384,0.784237,-0.511311,-0.0463020000000002,-0.2087599999999999,0.2363179999999999,0.3187017570205724,1
2.589883,0.34178,1.439741,2.80881,0.784059,1.341061,-0.21892699999999987,-0.442279,0.09867999999999988,0.5032668154865766,1
1.173602,0.89402,0.935437,1.194503,0.792371,0.880611,-0.020901,0.1016489999999999,0.0548259999999999,0.1173680590194793,1
3.092404,0.234339,0.008694,3.310188,0.78422,-0.506529,-0.2177839999999999,-0.5498810000000001,0.515223,0.7843811092485592,0
3.742508,0.405549,-0.505933,3.31023,0.784166,-0.505957,0.4322780000000001,-0.378617,2.4000000000024e-05,0.5746434568921848,0
3.043396,0.349386,-0.328371,3.310092,0.784032,-0.50591,-0.266696,-0.434646,0.1775389999999999,0.5399666640201041,0
3.057426,0.104757,-0.763329,3.318851,0.784714,-0.502349,-0.261425,-0.679957,-0.26098,0.7738185270940467,1
2.706272,0.810675,-0.712267,3.310256,0.784379,-0.506547,-0.6039840000000001,0.0262959999999999,-0.20572,0.6385991467830192,0
0.786266,0.107884,0.457176,1.192694,0.78267,0.885674,-0.4064279999999999,-0.674786,-0.4284979999999999,0.8967331827160182,0
3.265653,0.197796,-0.807709,3.318891,0.784398,-0.502093,-0.0532379999999998,-0.5866020000000001,-0.305616,0.6635791817891818,1
3.730966,0.319399,-0.486808,3.310127,0.783992,-0.504743,0.4208389999999999,-0.464593,0.017935,0.6271154469433838,0
2.85984,0.597507,1.227503,3.032042,0.78539,1.313783,-0.17220199999999997,-0.18788300000000002,-0.08627999999999991,0.2690683721528786,1
3.134264,0.622235,-0.600442,3.293855,0.784402,-0.510861,-0.1595910000000002,-0.162167,-0.089581,0.2445243929161263,1
3.436603,0.337012,-0.812519,3.309911,0.784293,-0.505867,0.1266919999999998,-0.447281,-0.306652,0.5569080758338848,0
1.327799,0.117338,0.317058,1.19297,0.782751,0.886749,0.1348289999999998,-0.665413,-0.569691,0.8862850305014747,0
3.712149,0.477636,-0.472579,3.3098,0.784007,-0.505103,0.402349,-0.306371,0.0325239999999999,0.5067600201456307,0
1.439571,0.445235,0.974994,1.191694,0.782294,0.885251,0.2478769999999999,-0.337059,0.089743,0.4279083811506851,1
1.651723,0.11432,0.49118,1.192926,0.782857,0.885817,0.4587970000000001,-0.668537,-0.3946369999999999,0.9017620358758736,0
1.648976,0.439566,0.798059,1.192553,0.783014,0.885476,0.456423,-0.343448,-0.087417,0.5778583005564599,0
3.341368,0.458311,-0.094846,3.310118,0.784104,-0.505937,0.03125,-0.325793,0.411091,0.5254649861123003,0
3.32022,0.106562,-0.805875,3.318193,0.784428,-0.502212,0.002027,-0.677866,-0.303663,0.7427769788126177,1
2.506965,0.847341,-0.523502,3.310278,0.784499,-0.506792,-0.8033129999999997,0.062842,-0.01671,0.8059405170563145,0
3.032525,0.465332,-0.324115,3.310056,0.784004,-0.505418,-0.2775309999999997,-0.318672,0.181303,0.4598326623392469,0
3.712899,0.458248,-0.567371,3.30998,0.784118,-0.505578,0.4029190000000002,-0.32587,-0.0617929999999999,0.5218748435305156,0
1.136633,0.106084,1.38962,1.193114,0.782553,0.886891,-0.056481,-0.6764690000000001,0.5027290000000001,0.8447111096481449,0
0.984231,0.57425,1.214732,1.192789,0.782623,0.886109,-0.2085580000000001,-0.2083729999999999,0.3286229999999999,0.4414847931945108,0
1.333657,0.441713,0.451203,1.19312,0.782315,0.885937,0.1405370000000001,-0.3406019999999999,-0.4347339999999999,0.569871934322967,0
0.996397,0.341112,0.786789,1.192534,0.782468,0.885643,-0.196137,-0.441356,-0.098854,0.4929877836427593,1
3.206037,0.250358,-0.952889,3.310342,0.784356,-0.506736,-0.104305,-0.533998,-0.446153,0.7036234052659135,0
3.165818,0.238613,0.057,3.310145,0.784225,-0.506478,-0.1443270000000001,-0.545612,0.563478,0.7975150117439798,0
2.307441,0.77768,-0.560968,3.310237,0.784481,-0.506804,-1.002796,-0.0068009999999999,-0.0541639999999999,1.0042807426775644,0
3.345438,0.741681,-0.217907,3.310289,0.78404,-0.505843,0.0351490000000001,-0.0423589999999999,0.2879360000000001,0.2931499226982672,0
1.269105,0.502294,1.051005,1.191946,0.783514,0.884844,0.0771589999999999,-0.28122,0.166161,0.3356302691981163,1
1.193967,0.670016,0.71639,1.192594,0.782292,0.885788,0.001373,-0.112276,-0.169398,0.2032325458901699,1
1.135556,0.106703,1.389483,1.193005,0.782797,0.885851,-0.057449,-0.676094,0.503632,0.8450140092690771,0
1.042133,0.854527,0.820196,1.192937,0.78198,0.885639,-0.1508039999999999,0.072547,-0.0654429999999999,0.1796877844317748,1
3.472993,0.408375,-0.334938,3.318942,0.784171,-0.502213,0.1540510000000003,-0.3757959999999999,0.167275,0.4392439753052967,1
1.237787,0.106938,1.345965,1.192965,0.782691,0.886206,0.0448219999999999,-0.675753,0.459759,0.8185532766863743,0
3.66338,0.387919,-0.420051,3.310021,0.783846,-0.504631,0.3533590000000002,-0.395927,0.08458,0.5373774731136394,0
3.671571,0.202055,-0.123068,3.310019,0.783902,-0.504579,0.3615520000000001,-0.581847,0.381511,0.7841023040611474,0
3.516809,0.342064,-0.790717,3.309557,0.7838,-0.505794,0.207252,-0.4417360000000001,-0.284923,0.5650355751003648,0
3.300428,0.34543,-0.25282,3.318961,0.783945,-0.500746,-0.0185329999999996,-0.438515,0.247926,0.5040894551466039,1
1.136667,0.106055,1.389647,1.192763,0.7828,0.885978,-0.0560959999999999,-0.676745,0.503669,0.8454661541433814,0
1.119809,0.524715,1.078804,1.192767,0.782347,0.885498,-0.0729579999999998,-0.2576319999999999,0.1933060000000001,0.3302488861813162,1
3.572334,0.456183,-0.173843,3.310464,0.784112,-0.50641,0.26187,-0.327929,0.332567,0.535456940780489,0
0.910048,0.150901,0.726521,1.192854,0.782429,0.885676,-0.2828060000000001,-0.6315280000000001,-0.159155,0.7100261702536043,1
3.328184,0.370258,-0.833725,3.310709,0.784366,-0.506412,0.0174749999999996,-0.414108,-0.3273130000000001,0.5281331378146992,0
3.532646,0.36415,-0.146288,3.309726,0.783921,-0.504797,0.2229200000000002,-0.419771,0.3585090000000001,0.5953400053095711,0
3.06505,0.242289,-0.937534,3.310172,0.784067,-0.506289,-0.2451220000000002,-0.541778,-0.431245,0.7345613971568341,0
0.678251,0.117267,0.795566,1.192958,0.782691,0.886015,-0.5147069999999999,-0.665424,-0.090449,0.8461048500191923,0
3.21075,0.110528,-0.031487,3.31017,0.7842,-0.506658,-0.0994199999999998,-0.673672,0.475171,0.8303648470551966,0
3.128359,0.333482,-0.264213,3.309613,0.783639,-0.505283,-0.181254,-0.450157,0.24107,0.5418570679293572,0
2.990936,0.364871,-0.727962,3.310127,0.784113,-0.50611,-0.319191,-0.4192419999999999,-0.221852,0.5717211373991694,0
3.462535,0.106058,-0.786577,3.318516,0.784516,-0.502252,0.1440190000000001,-0.678458,-0.2843249999999999,0.749591512592025,1
0.878879,0.176443,0.9157,1.192734,0.782436,0.885618,-0.313855,-0.605993,0.0300819999999999,0.6831086325014493,1
3.106946,0.407491,-0.832175,3.310666,0.784366,-0.506443,-0.2037199999999996,-0.376875,-0.325732,0.5381802113130878,0
0.704384,0.105407,1.069479,1.193001,0.782659,0.886054,-0.4886169999999999,-0.677252,0.183425,0.8550213885149307,0
1.049155,0.56232,0.790803,1.193311,0.782381,0.88562,-0.1441559999999999,-0.2200609999999999,-0.0948169999999999,0.2796391595359991,1
3.160181,0.209088,-0.80271,3.318938,0.784555,-0.501945,-0.158757,-0.575467,-0.300765,0.668450176425289,1
2.619318,0.409979,1.468542,2.79616,0.784197,1.346699,-0.17684200000000017,-0.37421800000000005,0.12184299999999992,0.43146021964602954,1
3.157161,0.327715,-0.224626,3.310163,0.784182,-0.506337,-0.1530020000000003,-0.456467,0.281711,0.5577928124438322,0
3.60872,0.455472,-0.241206,3.310168,0.784254,-0.506515,0.2985519999999999,-0.328782,0.265309,0.5173197905638253,0
1.007649,0.348733,0.92551,1.192645,0.782383,0.88564,-0.1849959999999999,-0.43365,0.03987,0.4731442268653397,1
