Format Version,1.23,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,
,ID,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,
89,0.247222,-131.123779,-52.384777,138.079865,1.074257,0.107087,0.414686,0.000646,
90,0.25,,,,,,,,
91,0.252778,-131.124832,-52.344765,138.112885,1.074191,0.107086,0.414721,0.000638,
92,0.255556,,,,,,,,
93,0.258333,-131.129135,-52.351837,138.097534,1.074204,0.107097,0.414692,0.000643,
94,0.261111,,,,,,,,
95,0.263889,-131.134628,-52.301563,138.137604,1.074104,0.107093,0.414751,0.000646,
96,0.266667,,,,,,,,
97,0.269444,-131.12616,-52.361794,138.076889,1.074205,0.107102,0.414658,0.000632,
98,0.272222,,,,,,,,
99,0.275,-131.157425,-52.348305,138.068573,1.074207,0.107114,0.414668,0.000638,
100,0.277778,,,,,,,,
101,0.280556,-131.166046,-52.428818,138.005814,1.074287,0.107069,0.414654,0.000567,
102,0.283333,-131.157654,-52.248161,138.170181,1.074041,0.107144,0.414675,0.000701,
103,0.286111,-131.160568,-52.274517,138.117615,1.07406,0.10711,0.414701,0.000663,
104,0.288889,-131.153427,-52.338505,138.082062,1.074159,0.107092,0.414671,0.000638,
105,0.291667,,,,,,,,
106,0.294444,-131.167801,-52.302696,138.102676,1.074087,0.107089,0.414703,0.000648,
107,0.297222,,,,,,,,
108,0.3,,,,,,,,
109,0.302778,-131.1689,-52.37899,138.033051,1.074237,0.107115,0.414614,0.000649,
110,0.305556,,,,,,,,
111,0.308333,-131.19548,-52.360271,138.04213,1.074232,0.107137,0.414599,0.000681,
112,0.311111,,,,,,,,
113,0.313889,,,,,,,,
114,0.316667,-131.122223,-52.352749,138.069031,1.07409,0.106993,0.414736,0.000536,
115,0.319444,,,,,,,,
116,0.322222,,,,,,,,
117,0.325,-131.154144,-52.344112,138.073242,1.074125,0.107046,0.414717,0.000628,
118,0.327778,,,,,,,,
119,0.330556,-131.14061,-52.40287,138.018585,1.074253,0.107069,0.414621,0.000624,
120,0.333333,,,,,,,,
121,0.336111,-131.158096,-52.400421,138.022995,1.074235,0.107051,0.414665,0.000611,
122,0.338889,,,,,,,,
123,0.341667,-131.133957,-52.326363,138.108566,1.074093,0.107061,0.41475,0.000625,
124,0.344444,,,,,,,,
125,0.347222,-131.163696,-52.381969,138.028351,1.074203,0.107062,0.414663,0.000629,
126,0.35,-131.122437,-52.347519,138.070908,1.074143,0.107091,0.414658,0.000616,
127,0.352778,,,,,,,,
128,0.355556,,,,,,,,
129,0.358333,-131.150208,-52.323544,138.08139,1.074102,0.107068,0.414712,0.000619,
130,0.361111,,,,,,,,
131,0.363889,-131.168625,-52.380283,138.030624,1.0742,0.107054,0.414673,0.000628,
132,0.366667,-131.165253,-52.387367,138.013168,1.074254,0.107073,0.414619,0.000635,
133,0.369444,,,,,,,,
134,0.372222,-131.133255,-52.367573,138.048004,1.074168,0.107062,0.41463,0.000625,
135,0.375,,,,,,,,
136,0.377778,-131.16568,-52.402809,138.015717,1.074255,0.107052,0.414639,0.000623,
137,0.380556,,,,,,,,
138,0.383333,-131.141602,-52.360584,138.0513,1.074171,0.107044,0.414649,0.000635,
139,0.386111,,,,,,,,
140,0.388889,-131.151932,-52.394749,138.013519,1.07422,0.107029,0.414653,0.000549,
141,0.391667,,,,,,,,
142,0.394444,-131.157867,-52.38398,138.045044,1.074219,0.107061,0.414658,0.000628,
143,0.397222,,,,,,,,
144,0.4,,,,,,,,
145,0.402778,-131.162155,-52.361813,138.022095,1.074196,0.107047,0.414644,0.000609,
146,0.405556,,,,,,,,
147,0.408333,-131.152985,-52.378483,138.033829,1.074214,0.107067,0.414624,0.000634,
148,0.411111,-131.146774,-52.377796,138.034348,1.074239,0.107092,0.41459,0.000628,
149,0.413889,,,,,,,,
150,0.416667,-131.154236,-52.358997,138.0327,1.074207,0.107082,0.414624,0.000627,
151,0.419444,,,,,,,,
152,0.422222,,,,,,,,
153,0.425,,,,,,,,
154,0.427778,-131.136108,-52.291328,138.128891,1.074064,0.107068,0.414721,0.000639,
155,0.430556,,,,,,,,
156,0.433333,-131.168289,-52.367641,138.042648,1.074185,0.107067,0.414674,0.000627,
157,0.436111,,,,,,,,
158,0.438889,-131.140579,-52.389317,138.032532,1.074257,0.107052,0.414599,0.00061,
159,0.441667,,,,,,,,
160,0.444444,-131.152328,-52.357018,138.044571,1.07418,0.107056,0.414631,0.000628,
161,0.447222,,,,,,,,
162,0.45,-131.163559,-52.321987,138.080429,1.074127,0.107054,0.414723,0.000628,
163,0.452778,,,,,,,,
164,0.455556,,,,,,,,
165,0.458333,-131.152023,-52.346569,138.064819,1.074175,0.10705,0.414679,0.000629,
166,0.461111,,,,,,,,
167,0.463889,-131.210022,-52.34227,138.056732,1.074255,0.107157,0.414598,0.00067,
168,0.466667,,,,,,,,
169,0.469444,,,,,,,,
170,0.472222,,,,,,,,
171,0.475,-131.171234,-52.327034,138.089615,1.074184,0.107114,0.414687,0.000658,
172,0.477778,-131.139999,-52.322121,138.098618,1.07419,0.107125,0.414636,0.00066,
173,0.480556,,,,,,,,
174,0.483333,,,,,,,,
175,0.486111,-131.106186,-52.386372,138.089828,1.074264,0.107112,0.414662,0.000649,
176,0.488889,-131.084503,-52.274185,138.196686,1.074051,0.107086,0.414803,0.000665,
177,0.491667,-131.056198,-52.324509,138.172256,1.07414,0.107095,0.414729,0.000658,
178,0.494444,-131.153946,-52.28896,138.103989,1.074091,0.107039,0.414729,0.000644,
