Format Version,1.23,Take Name,MSD_Ballie_Trial,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-05 02.10.02.065 PM,Capture Start Frame,694055,Total Frames in Take,13342,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.016667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.019444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.022222,-89.167763,-8.319714,-85.970657,0.149941,0.102531,2.209145,0.000554,,,,,,,,,,,,,,,,,,,,,,,,,,0.139686,0.126797,2.316074,0.199613,0.146530,2.121029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173680,0.190928,2.276923,0.120992,0.205595,2.232810,0.191552,0.205596,2.192533,0.251013,0.152598,2.202147,,,,,,
9,0.025000,-89.211151,-8.623404,-86.166611,0.150308,0.102429,2.209578,0.000518,,,,,,,,,,,,,,,,,,,,,,,,,,0.139609,0.126598,2.316361,0.200060,0.146581,2.121526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173489,0.190227,2.276902,0.120768,0.205458,2.233203,0.191463,0.205724,2.192915,0.250912,0.152813,2.202516,,,,,,
10,0.027778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.030556,-88.996658,-8.673166,-86.135658,0.150058,0.102527,2.210087,0.000488,,,,,,,,,,,,,,,,,,,,,,,,,,0.139399,0.126291,2.316884,0.199647,0.147068,2.122315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173284,0.190083,2.277642,0.120433,0.205398,2.234061,0.191146,0.205936,2.193781,0.250508,0.153038,2.203207,,,,,,
12,0.033333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.036111,-88.642578,-8.691666,-86.151970,0.149830,0.102542,2.210356,0.000781,,,,,,,,,,,,,,,,,,,,,,,,,,0.138974,0.125380,2.317129,0.199286,0.147486,2.123116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172947,0.189929,2.278475,0.120122,0.205379,2.235085,0.190675,0.206044,2.194609,0.250106,0.153240,2.203772,,,,,,
14,0.038889,-88.461143,-8.549712,-85.948067,0.149296,0.102696,2.210482,0.000413,,,,,,,,,,,,,,,,,,,,,,,,,,0.138926,0.125307,2.317469,0.198665,0.147944,2.123252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173288,0.190564,2.278566,0.119977,0.205336,2.235507,0.190428,0.206067,2.194943,0.249967,0.153343,2.204057,,,,,,
15,0.041667,-88.086304,-8.750421,-86.046738,0.149596,0.103005,2.210286,0.000858,,,,,,,,,,,,,,,,,,,,,,,,,,0.138844,0.124983,2.317702,0.196634,0.147602,2.123970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173063,0.190440,2.278846,0.119908,0.205367,2.235998,0.190254,0.206100,2.195366,0.249840,0.153471,2.204314,,,,,,
