Format Version,1.23,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,
,ID,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,
0,0,,,,,,,,
1,0.002778,-60.729004,-30.680046,71.569664,2.566687,0.107706,-1.855184,0.00061,
2,0.005556,,,,,,,,
3,0.008333,,,,,,,,
4,0.011111,,,,,,,,
5,0.013889,-60.727745,-30.687811,71.574409,2.566694,0.107701,-1.855184,0.000619,
6,0.016667,,,,,,,,
7,0.019444,-60.726215,-30.696342,71.579819,2.566702,0.107696,-1.855185,0.000667,
8,0.022222,,,,,,,,
9,0.025,-60.724392,-30.701435,71.583672,2.566707,0.107695,-1.855185,0.000611,
10,0.027778,,,,,,,,
11,0.030556,,,,,,,,
12,0.033333,-60.722294,-30.709671,71.58902,2.566714,0.107691,-1.855185,0.000658,
13,0.036111,,,,,,,,
14,0.038889,,,,,,,,
15,0.041667,-60.72121,-30.717226,71.59362,2.566721,0.107686,-1.855185,0.000637,
16,0.044444,-60.719387,-30.721767,71.597176,2.566726,0.107685,-1.855185,0.00061,
17,0.047222,,,,,,,,
18,0.05,-60.722153,-30.721327,71.59626,2.566722,0.107691,-1.855181,0.00076,
19,0.052778,,,,,,,,
20,0.055556,-60.720341,-30.726,71.599556,2.566726,0.10769,-1.85518,0.000571,
