Format Version,1.23,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,
,ID,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,
0,0,,,,,,,,
1,0.002778,,,,,,,,
2,0.005556,-137.860794,18.469538,76.863907,0.994396,0.109391,-0.585047,0.001345,
3,0.008333,,,,,,,,
4,0.011111,-138.201202,18.733936,76.896835,0.99398,0.108996,-0.584772,0.001329,
5,0.013889,,,,,,,,
6,0.016667,-137.919846,18.631805,77.139305,0.993801,0.109113,-0.584877,0.001336,
7,0.019444,,,,,,,,
8,0.022222,-138.250107,18.775822,76.964851,0.993896,0.109061,-0.584578,0.001333,
9,0.025,,,,,,,,
10,0.027778,-138.402588,18.742056,76.719612,0.994183,0.10886,-0.584494,0.001335,
11,0.030556,,,,,,,,
12,0.033333,,,,,,,,
13,0.036111,-138.029099,18.826233,77.160233,0.993603,0.109061,-0.584816,0.001338,
14,0.038889,-135.039063,22.31702,77.681145,0.992947,0.109838,-0.583462,0.001293,
15,0.041667,-142.870819,20.397089,74.336609,0.995815,0.105429,-0.576794,0.001326,
16,0.044444,-138.796356,20.155355,74.435707,0.996975,0.108099,-0.581711,0.001268,
17,0.047222,-139.449997,19.241928,78.025146,0.991425,0.107884,-0.583038,0.001305,
